video_id,title,channel_id,channel_title,published_at,category_id,duration,view_count,like_count,comment_count
ex55eyU2Y1s,Khesari Lal Yadav New Song | Suit Lalka | Ft Akanksha Puri | Goldi Yadav | New Bhojpuri Song 2026,UCwt4YxSsBMxDwAMo5FoM3Xw,IVY Bhojpuri Dhamaka,2026-07-15 01:30:22+00:00,10,PT3M26S,745995,65103,10176
8JntxQgaAw4,Korean Kanakaraju Teaser | Varun Tej | Merlapaka Gandhi | Thaman S | Satya | Ritika Nayak,UCmse5JbKneJqVyerfhDVYvQ,UV Creations,2026-07-13 10:35:02+00:00,24,PT2M10S,1573061,59476,1100
4a8elY0imOw,🔴 [HINDI] EWC26 GROUP STAGE DAY 1 (GROUP A & B) | INDIA AT EWC26,UCuYSf8EuD8cqeEFITmvHXYQ,Free Fire MAX Esports India Official,2026-07-15 18:01:37+00:00,20,PT8H8M10S,3125052,68321,361
SmAWV0UGtA8,Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,UCOQpnrnoOhyXztFDmybURJw,Jaizeey Music,2026-07-14 02:45:08+00:00,10,PT4M17S,704907,2011,29
b8jZdpIzG4k,ISHQNAMA (Trailer) Jai Randhhawa | Shehnaaz Gill | Arvvindr S Khaira | In Cinemas on 24th July,UCV9ETprHOXt9aj8XtKEJ1tg,SRF,2026-07-14 13:30:08+00:00,24,PT3M6S,801063,25910,3156
hbar9PwB344,EWC GRP STAGE DAY-1 WATCH PARTY FROM PARIS 🤯 || Let's Gooo Team INDIA 🇮🇳         #nonstopgaming,UCzlb7-RxHTU8WriwZUE2qWw,Nonstop Gaming,2026-07-15 17:38:10+00:00,20,PT7H59M20S,971994,56151,363
qhoczFmqo6I,#4kVideo - महीने महीने मर्डरवा करियों | #Aashish Yadav & #Khushi Kakkar | New #Rangdari Song 2026,UCuBMhd-6_F9tEC5jHgjVsDg,Swastik Records,2026-07-15 01:01:24+00:00,10,PT3M31S,330548,22237,1103
Al27vU3gdXA,TOXIC – Final Trailer (2026) | Yash | A Fairytale For Grown-Ups | 4K,UCuhEQzC-TVTZZOHcuMcZHkQ,"T TRAILER   •  12M  Views • 5 hours ago 




.....",2026-07-15 09:30:22+00:00,1,PT1M11S,113393,926,23
1BzVOWfZl1s,EWC FREE FIRE MAX DAY 1 - WATCHPARTY WITH SNAX #S8UL,UCQfBN7Ut5TiZJAhMo_Rgfyw,Snax Gaming,2026-07-15 17:31:52+00:00,20,PT7H34M16S,1287485,57324,191
hV2SyMHtpvQ,"#Video - करें भोला जी के दान | #Aashish Yadav, #Khushi Kakkar का पहला #बोलबम गीत | #Bolbam Song 2026",UCjaOWpDTaZKe63ApNJ8BLPg,Aashish Yadav Entertainment,2026-07-13 01:00:18+00:00,10,PT2M53S,1042823,46980,3125
bQQQz56S8Vc,Thalapathy Vijay Jana Nayagan + Hera Pheri 3 Twist + Toxic New Trailer | Deeksha Sharma,UCeiAKuJGZrIjYvaq0nMwbJg,Filmi Indian,2026-07-15 06:17:14+00:00,24,PT4M6S,261364,8546,226
AFJrFYvytA8,I Cheated with AI Auto Builder in House Build Battle..,UClqifC6Nd7v-IfTqce4k62A,Carry Depie,2026-07-15 10:15:34+00:00,20,PT17M11S,708324,11261,949
undhkaMMenU,"Sambavakaari Video Song | Gatta Kusthi 2 | Vishnu Vishal, Aishwarya Lekshmi | Sean Roldan",UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,2026-07-12 10:30:35+00:00,10,PT4M5S,2579546,33594,409
Lx9vuPJs9Ww,Train - Official Teaser | Vijay Sethupathi | Mysskin | Shruti Haasan | Kalaippuli S Thanu,UCzee67JnEcuvjErRyWP3GpQ,Saregama Tamil,2026-07-12 13:00:28+00:00,24,PT44S,2898803,64293,1771
TcxF1eJwPZE,"RekRoom Revamp Master Series | Grand Finals Day 2 – POWER PLAY | APEX, SOUL, RNTX, NEBULA, RECKONING",UCAxspga1PzA5YnO7btp7KQQ,RekRoom,2026-07-15 17:30:24+00:00,20,PT5H40M32S,831397,20079,22
-iz9ZuyIC3w,जगन्नाथ रथ यात्रा स्पेशल - जगन्‍नाथ पुरी की महिमा अपार है -Nonstop Jagannath Bhajan- Rath Yatra 2026,UC5fbdgYVnVwnEcM2KnaeZ0g,Ambey Bhakti,2026-07-14 12:38:42+00:00,10,PT1H41M38S,52451,483,19
CY603P-PeQQ,"Musafir Cafe | Official Trailer | Vikrant Massey, Vedika Pinto, Mahima Makwana | Netflix India",UCZSNzBgFub_WWil6TOTYwAg,Netflix India,2026-07-14 12:30:00+00:00,24,PT2M28S,6693883,14732,561
b8Pa-vsHSCE,BIRTH to ELEMENTAL in Minecraft!,UCW3Ms3ZxVaZUniP-HifWCDg,Karry Kraft,2026-07-15 12:31:33+00:00,20,PT12M31S,454834,7579,321
-Lzmq6rm23c,Faisley (Official Video ) R Nait | Darsh Dhaliwal | Gaiphy | New Punjabi Songs 2026,UC3fryLB2yC_5ImR9mEl1v-A,R Nait,2026-07-15 04:30:01+00:00,10,PT4M2S,699129,9639,537
4NrHIWfX3n8,"Mister Middle Class Telugu Movie Trailer | Srikanth, Laya, Rajendra Prasad, Sunil, Ali | Mango Music",UCWqyzn3cDkRDh3kRGWrIQwA,Mango Music,2026-07-13 13:17:24+00:00,10,PT2M35S,671408,12293,611
dk7LlVvogXE,Railway Chai Wala (Indian Horror Game),UCFwKgzKe-EdTz83r6wzhmOw,Live Insaan,2026-07-15 12:30:13+00:00,20,PT46M5S,656147,33862,3351
5MZBCOYLYps,"#Video | Licence | Raushan Rohi , Srishti Bharti | Ft. Neha Pathak | Maghi Rangdari Song 2026",UCHSMjy0ydl9JtZgTfZRvRgQ,Mahadeva Records,2026-07-13 00:44:48+00:00,10,PT3M56S,890812,41156,2316
qORTe1wW3Wg,DIGGER | Official Trailer,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros.,2026-07-13 13:00:30+00:00,1,PT2M39S,3662057,96441,7715
GALX8gkUR50,GTA V LIVE 🔥#shortsfeed #shortslive #gta #shorts #live #gta5,UCSgW2d-IWIZKM6mHBe13YHQ,RageGod fps,2026-07-15 23:30:34+00:00,20,PT3H3M21S,625413,1305,0
qIU6nQzu0zo,ओ फिरकी वाली तू कल फिर आना dj dance~O Firki Wali Instagram Trending Song Dance Cover By Neelu Maurya,UCQcfABwtQd8XRAHRfnEjfqw,Khatu Bhakti Sagar,2026-07-15 01:00:24+00:00,10,PT10M35S,95096,479,19
aG8U7-XK7PI,The Batman Part 2 - Official 'Camera Test' Teaser Trailer (2028) Robert Pattinson,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2026-07-15 17:37:46+00:00,24,PT37S,814437,43906,3157
hMs8HKJsd0o,"15 July, 2026 | France vs Spain | FIFA World Cup 26 | Semi Finals | Football | FC26 Gameplay",UCy85tC4HJjcjHKeL4sszAKg,Foot player 26,2026-07-14 19:00:36+00:00,20,PT41M23S,1000828,5462,43
9DczhPGw2r0,"राम जी रहम करि (4K) #Mani Meraj, #Chand Jee, #Shilpi Raj | Ram Ji Raham Kari | New #Bhojpuri Song",UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,2026-07-13 01:30:29+00:00,10,PT4M18S,1061315,27711,1689
kKIqF2oyj1Q,Srinivasa Mangapuram Official Trailer | Jai Krishna | Rasha Thadani | Mohan Babu | Ajay Bhupathi,UC70pKToywlxOGdgIvz8gYqA,Vyjayanthi Network,2026-07-12 13:41:00+00:00,1,PT2M53S,1743554,16629,659
GHuh6B7J9M8,"PUBGM SURVIVOR'S RUMBLE PHASE 1 DAY 3 - FT. KONG CREW 🦧, TEAM DSG 💛, HORAA and many more...",UCI6rdrI6G5BjeHFBbJsYuTw,313xSAAD ETC,2026-07-15 15:30:43+00:00,20,PT5H9M58S,565005,11736,0
U2o8v9uuRXE,रे बनरा तोर गड़िये लाल | Ansh Babu | A Banara Tor Goriya Lal | Re Banra Tor Gadiye Lal | Funny Song,UC9ff0aosnkSEQZlMwCdUrew,BFTS Music,2026-07-13 12:49:00+00:00,10,PT23M1S,393202,2135,21
9QDfABKdqe0,Adarsh Baal Vidyalaya - Official Trailer | Prime Video India,UC4zWG9LccdWGUlF77LZ8toA,Prime Video India,2026-07-13 06:30:37+00:00,24,PT2M28S,8067442,27474,1086
6I_2NQPPKAA,GTA : 5 - World Highest | 😫😱😲 TRIED THE IMPOSSIBLE PARKOUR SUPER MEGA RAMP CHALLENGE | INDIAN All DJ,UCYWm1YoDn5q_std_LEM52hQ,Sonu GTA6 DJ,2026-07-15 01:30:25+00:00,24,PT12M25S,225689,508,14
0OpiEVwuWTY,Ratha Jatra ra Gahana Katha | Ratha Patha Jagannatha | ରଥଯାତ୍ରାର ଗହନ କଥା | Namita Agrawal,UCa59pR8iMNFh5DMDJMPslDA,Namita Agrawal 2,2026-07-14 23:30:04+00:00,10,PT14M52S,66952,1157,55
yicWZa3C-RY,"Korean Kanakaraju Official Teaser | Varun Tej, Lavanya | Satya | Merlapaka Gandhi",UCExbnOFWJkh-6169EyIvYnA,Mana Telugu Cult,2026-07-13 11:39:33+00:00,22,PT1M26S,767611,7611,138
9LIHFwBpzlc,GTA 5 LIVE #gta5 #gtav #gaming,UCuVUKYdrxPMO80uehUN17PA,Hear Is Live,2026-07-15 03:40:26+00:00,20,PT1H58M37S,1333232,4061,0
JpEGoLy4cec,ఈ స్తోత్రం వింటేకోరికలు నెరవేరుతాయి | Varahi Sahasranamam Telugu | Aashadam Varahi Navaratri Special,UCM24eJbc9yNoJB-RtoBenPQ,Bhakti Samayam - భక్తి సమయం,2026-07-14 23:00:02+00:00,10,PT37M42S,88540,746,46
-kQh-c0pqf8,@SimplySarath - Ring Teaser | Keerthisreemedia | Hita Aran | Surya Perumal | Gana Guna | YC dewin,UCrWZSWFene_kFa8AqFspCCg,keerthisree Media ,2026-07-14 13:00:25+00:00,22,PT30S,32867,4039,147
R3bk_6JMDxM,GTA 5 LIVE | Train vs 100 Luxury Cars 😱🔥 कौन बचेगा?,UCzV2bxYY8F9Sb-I5RjC64JQ,Sunil Gaming,2026-07-16 02:35:36+00:00,20,PT1H57M29S,512622,1751,0
qPCjT23Ya2s,#Video | बदरिया | #Ankush Raja | Badriya | #पूर्वी गीत | Bhojpuri Purvi Song New,UC05cEmAqCtRwIWwncV2gx2Q,Ankush Raja Official,2026-07-14 00:45:09+00:00,10,PT5M23S,441608,22024,906
DXjJ3_CJ5ws,Sony Spoiled Everything ... Hulk vs Spiderman Trailer Breakdown (தமிழ்),UC3Y7OyuS9jNdZy3ZadrAbWQ,Mokka Commentry,2026-07-14 04:29:08+00:00,24,PT10M11S,108885,6718,161
bCnFBr7bm10,🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline,UC9OTne2HnCn_kkyx8NodI-g,Pixel Hunters,2026-07-15 14:21:19+00:00,20,PT8H55M34S,5003501,18400,2
JkkkBojDqiM,సాయి బాబా పాటలు | Sai Baba Songs Telugu | Shirdi Sai Bhakti Songs | Shiridi Vasa Sai Prabho,UCWkK9wXJCy7ixDCjKE4XW1Q,Bhakthi Peetham - భక్తి పీఠం ,2026-07-15 22:00:05+00:00,10,PT1H55M25S,33584,121,6
-sTZBuwn7lA,Maharaja Hostel - Official Trailer | Sajin Cherukayil | Charu Wakan | Akhil NRD,UCoRF8GByEjmM_yHwUGIDGyQ,Saregama Malayalam,2026-07-14 11:36:32+00:00,1,PT2M8S,77937,1701,291
RXQlTrfqQ3U,BEST outfit versus in Free Fire HISTORY! ,UCWRmZvwkp6oNca2wW3uFcFg,SATVIK,2026-07-15 07:30:21+00:00,20,PT28M7S,710193,27255,3254
v-i8_YB9IzQ,Jaani Tera Naa (Full Video) Sunanda Sharma | Jaani | New Punjabi Songs 2026,UCD7lkHYGyK7SaZnwMx2RpHA,Punjab Di Shaan,2026-07-12 13:46:29+00:00,22,PT3M26S,285797,1257,7
KTGA--_Uvk4,Venkataramaiah Gari Taluka Movie Official Trailer || Sateesh Avala || Divija Prabhakar || Mangli,UCMYWdGAV5ydbAARaCO2g66w,Hash Cinemas,2026-07-14 05:57:44+00:00,24,PT2M20S,286861,1628,34
Uj9y4X6-TJY,🔴Live: Argentina vs England I eFootball Video Game Simulation I 16 July 2026,UCYnz6_yHW-mKRdiOUboJQxA,TEB Gaming,2026-07-15 22:16:25+00:00,20,PT2H9M8S,2294432,25682,52
0LRV20a3Kwg,प्यार तो होता है प्यार | Parwana | Alka Yagnik | Udit Narayan Songs | Ajay Devgan,UCEv7eKkRtLDRhmzlyp4ma1A,Classic Retro Songs,2026-07-10 05:04:53+00:00,22,PT5M51S,92122,348,2
vokDLPOEEhE,THE BATMAN: Part 2 Official Teaser Trailer (2028),UCzcRQ3vRNr6fJ1A9rqFn7QA,ONE Media,2026-07-15 14:40:22+00:00,1,PT49S,100516,3936,499
